"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.911110746460971,0.712499519308303,1.16246641073657,1.03949907061972,0.851587351741762,0.651538030458716,0.453069117924712,0.218131025227311,0.0792281907513765,0.0196459863180548
0.672592295133195,0.88605660993615,1.36308657188059,1.1414483197644,0.906771392516477,0.733406232995231,0.517174487748786,0.25112153025063,0.0999041754272941,0.0280220081573393
0.501295060602838,0.622683433809084,1.55959052172272,1.28720630350235,0.969844924810784,0.812776712005779,0.606974729663898,0.306690100297517,0.134221695544379,0.043263328639099
0.408884014773171,0.475619939497868,1.17410893084249,1.50641322275641,1.09519764769989,0.886121750125948,0.699729340383404,0.378277574196512,0.184359614652048,0.0706150070332096
0.349839807435361,0.394610484564396,0.923904944620658,1.14381212529806,1.29033817229029,0.989988138144622,0.777750702798118,0.455423791388852,0.247491254143441,0.106761182865163
0.249555740458403,0.297582023995009,0.721919627329842,0.862875361125488,0.923038707228183,1.11673666943061,0.870665882004126,0.542549414414507,0.326706816539136,0.154753712310282
0.156430915838283,0.189156434805229,0.48597105677748,0.614202010312379,0.653670646510845,0.784835299170241,0.961545776934644,0.664486330575089,0.435074198588461,0.220932011377971
0.0903922500666015,0.110238751861266,0.294715174138233,0.398525297623575,0.459407654555846,0.586992282811712,0.79753873510418,0.825939785077469,0.598573512011424,0.317188010363524
0.0450803078892194,0.0602167132903193,0.177096814768467,0.266680604826685,0.342785989833183,0.48532386027072,0.716980712586063,0.821863355769969,0.868945156066532,0.478011397370807
0.0212999623530656,0.0321833261288249,0.108770342877491,0.194627922612966,0.281751465318113,0.438031928191514,0.693734965613811,0.82984089876403,0.910856379111391,0.692004758145745
