"epsilon","zeta","gamma","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","inoculum","p_short[1]","p_short[2]","p_short[3]","p_short[4]","p_short[5]","p_short[6]","p_short[7]","p_short[8]","x0","k","alpha","beta_short[1]","beta_short[2]","beta_short[3]","r"
0.0877543,0.598915,0.267078,0.000241663,0.000263676,0.000610357,0.00159535,0.00398724,0.00454896,0.0088351,0.0120255,3.79818e-05,0.00090402,0.000986287,0.0022801,0.00593788,0.0147095,0.0167471,0.0320213,0.0430861,28.6932,0.603611,0.38195,0.23459,0.599384,1,14.9166
0.0736964,0.469247,0.175226,0.000144316,0.000225877,0.000471102,0.00124024,0.00299456,0.00276948,0.00430477,0.00696073,6.19349e-05,0.00082292,0.0012874,0.00268133,0.00702822,0.0168026,0.0155593,0.0239779,0.0382066,28.3929,0.469801,0.445261,0.214553,0.491834,1,14.969
0.111347,0.749001,0.360028,0.000330013,0.000377248,0.000855138,0.00205088,0.00507386,0.00484537,0.00858754,0.0109131,4.18499e-05,0.000915793,0.00104673,0.00236957,0.00566418,0.0138971,0.0132796,0.0232967,0.0294199,29.0244,0.420147,0.399901,0.209685,0.53868,1,14.849
0.0912668,0.651362,0.276337,0.000237977,0.0002785,0.00057728,0.00147982,0.00388491,0.00392071,0.00660361,0.00938612,4.29762e-05,0.000860444,0.00100681,0.00208469,0.0053266,0.0138637,0.0139897,0.0233392,0.0328504,28.1861,0.47597,0.406932,0.197747,0.582572,1,14.3534
0.100958,0.510536,0.250758,0.000209484,0.000293816,0.000584879,0.00146407,0.00363899,0.0036502,0.00621655,0.00948958,2.33453e-05,0.000834707,0.00117034,0.00232702,0.00580469,0.0143044,0.0143478,0.0241913,0.0364637,26.7235,0.269378,0.453998,0.20808,0.526929,1,15.8767
0.0833641,0.603562,0.270117,0.000293632,0.000246207,0.000571303,0.00145018,0.00378832,0.00441908,0.00781541,0.0119839,4.65511e-05,0.00108588,0.000910651,0.00211055,0.00534003,0.0138308,0.0160965,0.0281198,0.042481,28.6033,0.419284,0.403522,0.217293,0.637042,1,16.8747
0.0828009,0.540995,0.217668,0.000174104,0.000243116,0.000500243,0.00121644,0.0031837,0.00326532,0.00592368,0.00792034,5.30993e-05,0.000799223,0.00111567,0.00229293,0.00555747,0.0144156,0.0147797,0.0264933,0.0351098,28.9614,0.668886,0.385821,0.202329,0.530649,1,15.5899
0.0745749,0.53821,0.210955,0.000117632,0.000188561,0.000432614,0.00124352,0.00283156,0.00286858,0.00478671,0.00778184,6.28789e-05,0.000557304,0.000893044,0.00204654,0.00586019,0.0132448,0.0134156,0.0221872,0.0355762,28.4283,0.394674,0.44111,0.242608,0.561038,1,17.1189
0.0748104,0.541586,0.210919,0.000205326,0.000233618,0.000491418,0.00139051,0.00320081,0.00365,0.00657315,0.00952676,4.41381e-05,0.000972538,0.00110639,0.00232448,0.00654945,0.0149487,0.0170108,0.0302225,0.0432159,28.6795,0.73253,0.407485,0.215879,0.601592,1,15.7405
0.0839903,0.56678,0.250494,0.000187999,0.000222376,0.000576241,0.00138672,0.00328792,0.00412043,0.00684935,0.0103492,5.24154e-05,0.000749947,0.000886962,0.00229514,0.00550546,0.0129557,0.016183,0.0266155,0.039676,28.8064,0.47936,0.36114,0.242681,0.601845,1,13.1728
0.0723741,0.463712,0.208547,0.000186356,0.000234847,0.000474698,0.00130953,0.0032222,0.00434442,0.00796669,0.0112696,5.17737e-05,0.000892793,0.00112484,0.00227105,0.00624012,0.0152156,0.0204067,0.0367953,0.051268,28.3301,0.498713,0.340029,0.223928,0.676172,1,15.1755
0.0944707,0.686477,0.313662,0.000180022,0.000288602,0.000641736,0.00170653,0.00417692,0.00455503,0.00801719,0.0129193,3.23888e-05,0.000573608,0.00091926,0.00204177,0.00541124,0.0131416,0.0143142,0.024923,0.0395592,28.1424,0.366743,0.449025,0.248898,0.601157,1,16.7912
0.103487,0.719509,0.349242,0.000166163,0.000234985,0.000642627,0.00175093,0.00375715,0.00441185,0.00767012,0.0124335,3.31381e-05,0.000475555,0.000672389,0.00183668,0.00498851,0.0106435,0.012475,0.0214902,0.0343775,27.8137,0.294583,0.452871,0.248032,0.59677,1,15.7538
0.0674628,0.407183,0.166968,9.35495e-05,0.000174668,0.00037407,0.00106479,0.00241681,0.00286046,0.00503148,0.00812338,7.39441e-05,0.000559969,0.00104502,0.00223535,0.00633681,0.0142681,0.0168432,0.0292528,0.046395,28.4154,0.838712,0.339244,0.293454,0.582493,1,15.0691
0.107571,0.768244,0.347643,0.000182571,0.000252397,0.000565498,0.00146388,0.00351993,0.00351855,0.00603187,0.00888629,3.57369e-05,0.000524893,0.000725495,0.00162402,0.0041932,0.0100236,0.0100197,0.0170548,0.0249244,27.4318,0.290702,0.5185,0.237576,0.537025,1,16.2058
0.104966,0.616555,0.290331,0.000277627,0.000424815,0.00103406,0.00245411,0.00591062,0.00532634,0.0087437,0.0143866,3.6599e-05,0.000955328,0.00146107,0.00354901,0.00838194,0.019952,0.0180152,0.0292358,0.0472129,28.7512,0.501664,0.359466,0.225857,0.493726,1,13.7459
0.109212,0.588487,0.30252,0.000245001,0.000391414,0.000869576,0.00212069,0.00518926,0.00475693,0.00781808,0.012609,3.71583e-05,0.000809213,0.00129217,0.00286621,0.00696129,0.0168642,0.0154809,0.0251922,0.0400122,28.6604,0.456599,0.35822,0.2312,0.504965,1,14.3359
0.0949678,0.64438,0.305663,0.000185053,0.000268201,0.000604751,0.00153416,0.00374151,0.00407892,0.00760996,0.0114376,5.26265e-05,0.000605048,0.000876671,0.00197458,0.00499406,0.0120926,0.0131687,0.0242918,0.0360694,28.5298,0.376103,0.365304,0.258425,0.596266,1,13.5228
