"[0,5)","[5,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,Inf)"
-3.66499367931053,-3.66499367931053,-3.66499367931053,-3.59724011009977,-3.22127730466727,-2.79998717392707,-2.4304821298238,-2.37446119858896,-2.16454597735738,-2.00026152400473
-3.89985700206909,-3.89985700206909,-3.89985700206909,-3.96807069481219,-3.58388562370299,-3.13675627197343,-2.77064329644537,-2.63005165671354,-2.36374184901504,-2.15149374824843
-3.98686351038676,-3.98686351038676,-3.98686351038676,-3.87801362094916,-3.55967509054746,-3.11905499637803,-2.68651664629453,-2.6201127904415,-2.33489201900157,-2.17086483049153
-3.87591331586069,-3.87591331586069,-3.87591331586069,-3.75746105623093,-3.33301241173042,-2.99097425791309,-2.56186128168289,-2.51080677756282,-2.25822696149895,-2.06688895993251
-3.81561239772022,-3.81561239772022,-3.81561239772022,-3.54903997014671,-3.19080942417783,-2.76346273851131,-2.38169035887657,-2.36322835031718,-2.12274559531045,-1.95205181675397
-3.64121834295375,-3.64121834295375,-3.64121834295375,-3.65547411779764,-3.31391543841917,-2.89265094267547,-2.4872862605524,-2.36026953764847,-2.09688775598619,-1.92628897958041
-3.9248254506485,-3.9248254506485,-3.9248254506485,-3.83248181357605,-3.5276502523876,-3.04536246229276,-2.66833992733946,-2.60799636109312,-2.33777403254375,-2.18300017626265
-3.73636156469092,-3.73636156469092,-3.73636156469092,-3.65414420551471,-3.3823424205991,-2.94352203367625,-2.563497050353,-2.44341650511605,-2.21902849809294,-2.03405738410023
-3.7992370259886,-3.7992370259886,-3.7992370259886,-3.61885602747901,-3.33013571413871,-2.9187787495174,-2.52763122547153,-2.49403648198187,-2.2186913528249,-2.07920539349212
-3.87736150486831,-3.87736150486831,-3.87736150486831,-3.73153201963418,-3.30411136316589,-2.89044170039657,-2.52857039299332,-2.47628344072444,-2.21626074084049,-2.02732007024006
-3.59222171788783,-3.59222171788783,-3.59222171788783,-3.49299331583718,-3.11725524008555,-2.74406208670712,-2.34889166542652,-2.38427924905312,-2.13029316385919,-1.98719650821511
-3.53090732751873,-3.53090732751873,-3.53090732751873,-3.44919582405856,-3.1578789920262,-2.72755498095102,-2.30132020131738,-2.33780806379052,-2.10241798971699,-1.94434267817502
-3.67934491086566,-3.67934491086566,-3.67934491086566,-3.53084244736431,-3.28362599391404,-2.88827385898871,-2.44217050518785,-2.44575804025037,-2.17679908412258,-1.98947955917117
-3.72799585375656,-3.72799585375656,-3.72799585375656,-3.66936507689899,-3.26610889991539,-2.87301837723787,-2.46626733231014,-2.31204319754045,-2.04573143367346,-1.89085360038152
-3.87600470642374,-3.87600470642374,-3.87600470642374,-3.77724972281333,-3.32169745611879,-2.98545846104953,-2.56121723412378,-2.55574747978865,-2.27990687984347,-2.11408439062392
-3.8613216022523,-3.8613216022523,-3.8613216022523,-3.81379260667412,-3.42931932188493,-2.97356888636084,-2.61508593192369,-2.49120910956082,-2.22803497199836,-2.06337618988264
-3.74793134797535,-3.74793134797535,-3.74793134797535,-3.5755479722096,-3.24766877635006,-2.81262030676078,-2.45683995924181,-2.47089189256549,-2.2404190228938,-2.05827197104976
-3.80808531496762,-3.80808531496762,-3.80808531496762,-3.88049997121336,-3.4593815089335,-3.07171273493773,-2.60838044772795,-2.50034315412593,-2.27168031346336,-2.05932118302314
-3.74844694368225,-3.74844694368225,-3.74844694368225,-3.78321148344775,-3.44641428780652,-2.99412482886263,-2.61553368038997,-2.45454443216308,-2.15479898236118,-1.99894594456828
-3.79874220002884,-3.79874220002884,-3.79874220002884,-3.83866494549272,-3.43168208835819,-2.99439055463972,-2.58844426460182,-2.5380934821286,-2.28108829160085,-2.14116455297659
-3.76820175468317,-3.76820175468317,-3.76820175468317,-3.72263607663978,-3.29983386019654,-2.96554401217474,-2.55360109602336,-2.49837392197733,-2.21947171376699,-2.05713908607648
-3.89891655652561,-3.89891655652561,-3.89891655652561,-3.93323068694468,-3.54291933592151,-3.16325888329655,-2.71322477540501,-2.61208008846053,-2.30181243013388,-2.16255487733804
-3.65198931040193,-3.65198931040193,-3.65198931040193,-3.58004425151024,-3.24969684428034,-2.85657921487006,-2.4497557434945,-2.33477465695857,-2.10871460661224,-1.93405448185474
-3.82633597906083,-3.82633597906083,-3.82633597906083,-3.65201464591139,-3.29300756420818,-2.93695952258025,-2.52426345454785,-2.44985606731631,-2.22955744866258,-2.04832110643533
-3.86104082913354,-3.86104082913354,-3.86104082913354,-3.88937662476667,-3.51427715425773,-3.1516673739357,-2.71077682925078,-2.58590447937651,-2.30193165776659,-2.11967755238546
